Batch,User,Source,StartDate,EndDate,Actual Samples,Expected Samples,Final Missing %
Batch1,cmp1_usr590,Permission,2024.11.6 12:57,2025.5.21 14:04,315,785,59.87
Batch1,cmp1_usr591,Light,2024.11.12 13:24,2025.1.5 16:30,14280,16128,11.46
Batch1,cmp1_usr591,Connectivity,2024.11.12 13:24,2025.1.5 16:30,14280,16128,11.46
Batch1,cmp1_usr591,Battery,2024.11.12 13:24,2025.1.5 16:30,14280,16128,11.46
Batch1,cmp1_usr591,Permission,2024.11.12 13:01,2025.1.5 14:30,205,224,8.48
Batch1,cmp1_usr592,Light,2024.11.4 12:12,2025.1.7 13:40,18277,18450,0.94
Batch1,cmp1_usr592,Connectivity,2024.11.4 12:12,2025.1.7 13:40,18277,18450,0.94
Batch1,cmp1_usr592,Battery,2024.11.4 12:12,2025.1.7 13:40,18277,18450,0.94
Batch1,cmp1_usr592,Permission,2024.11.4 17:42,2025.1.7 9:20,254,255,0.39
Batch1,cmp1_usr593,Light,2024.11.6 12:40,2025.1.13 11:05,18040,19565,7.79
Batch1,cmp1_usr593,Connectivity,2024.11.6 12:40,2025.1.13 11:05,18040,19565,7.79
Batch1,cmp1_usr593,Battery,2024.11.6 12:40,2025.1.13 11:05,18040,19565,7.79
Batch1,cmp1_usr593,Permission,2024.11.6 17:45,2025.1.13 9:00,254,271,6.27
Batch1,cmp1_usr594,Light,2024.11.6 12:43,2025.1.12 9:36,10297,19259,46.53
Batch1,cmp1_usr594,Connectivity,2024.11.6 12:43,2025.1.12 9:36,10298,19259,46.53
Batch1,cmp1_usr594,Battery,2024.11.6 12:43,2025.1.12 9:36,10298,19259,46.53
Batch1,cmp1_usr594,Permission,2024.11.6 14:37,2025.2.8 13:52,154,376,59.04
Batch1,cmp1_usr596,Light,2024.11.6 13:28,2025.1.4 8:32,7382,16933,56.4
Batch1,cmp1_usr596,Connectivity,2024.11.6 13:28,2025.1.4 8:32,7387,16933,56.38
Batch1,cmp1_usr596,Battery,2024.11.6 13:28,2025.1.4 8:32,7387,16933,56.38
Batch1,cmp1_usr596,Permission,2024.11.6 14:50,2025.1.4 2:52,113,235,51.91
Batch1,cmp1_usr597,Light,,,0,16128,100
Batch1,cmp1_usr597,Connectivity,,,0,16128,100
Batch1,cmp1_usr597,Battery,,,0,16128,100
Batch1,cmp1_usr597,Permission,,,0,224,100
Batch1,cmp1_usr598,Light,2024.11.6 12:40,2025.1.10 14:08,18713,18738,0.13
Batch1,cmp1_usr598,Connectivity,2024.11.6 12:40,2025.1.10 14:08,18713,18738,0.13
Batch1,cmp1_usr598,Battery,2024.11.6 12:40,2025.1.10 14:08,18713,18738,0.13
Batch1,cmp1_usr598,Permission,2024.11.6 17:45,2025.1.10 8:38,259,259,0
Batch1,cmp1_usr599,Light,2024.11.6 10:31,2024.12.31 19:27,15938,16128,1.18
Batch1,cmp1_usr599,Connectivity,2024.11.6 10:31,2024.12.31 19:27,15938,16128,1.18
Batch1,cmp1_usr599,Battery,2024.11.6 10:31,2024.12.31 19:27,15938,16128,1.18
Batch1,cmp1_usr599,Permission,2024.11.6 14:06,2024.12.31 18:47,221,224,1.34
Batch1,cmp1_usr600,Light,2024.11.5 12:30,2025.1.6 13:56,17621,17874,1.42
Batch1,cmp1_usr600,Connectivity,2024.11.5 12:30,2025.1.6 13:56,17621,17874,1.42
Batch1,cmp1_usr600,Battery,2024.11.5 12:30,2025.1.6 13:56,17621,17874,1.42
Batch1,cmp1_usr600,Permission,2024.11.5 14:05,2025.1.6 11:41,245,248,1.21
Batch1,cmp1_usr601,Light,2024.11.5 22:33,2024.11.28 7:38,2278,16128,85.88
Batch1,cmp1_usr601,Connectivity,2024.11.5 22:33,2024.11.28 7:38,2278,16128,85.88
Batch1,cmp1_usr601,Battery,2024.11.5 22:33,2024.11.28 7:38,2278,16128,85.88
Batch1,cmp1_usr601,Permission,2024.11.6 6:35,2025.3.18 13:39,38,530,92.83
Batch1,cmp1_usr602,Light,2024.11.5 17:48,2024.12.31 15:59,15049,16128,6.69
Batch1,cmp1_usr602,Connectivity,2024.11.5 17:48,2024.12.31 15:59,15049,16128,6.69
Batch1,cmp1_usr602,Battery,2024.11.5 17:48,2024.12.31 15:59,15049,16128,6.69
Batch1,cmp1_usr602,Permission,2024.11.5 21:18,2024.12.31 14:19,210,224,6.25
Batch1,cmp1_usr603,Light,2024.11.4 16:47,2025.1.15 13:57,14542,20703,29.76
Batch1,cmp1_usr603,Connectivity,2024.11.2 18:21,2025.1.15 13:57,14543,21260,31.59
Batch1,cmp1_usr603,Battery,2024.11.4 16:47,2025.1.15 13:57,14542,20703,29.76
Batch1,cmp1_usr603,Permission,2024.11.4 21:32,2025.1.15 10:27,204,287,28.92
Batch1,cmp1_usr608,Light,,,0,16128,100
Batch1,cmp1_usr608,Connectivity,,,0,16128,100
Batch1,cmp1_usr608,Battery,,,0,16128,100
Batch1,cmp1_usr608,Permission,,,0,224,100
Batch1,cmp1_usr609,Light,2024.11.5 20:55,2025.1.10 14:00,17000,18925,10.17
Batch1,cmp1_usr609,Connectivity,2024.11.5 20:55,2025.1.10 14:00,17000,18925,10.17
